predictor,varimp,species
Temp,-0.003255503,glandon
Prec,0.003709509,glandon
elevation,0.047653877,glandon
lat,0.048267437,glandon
lon,0.209747546,glandon
lat,0.06004802,mormo
elevation,0.06465624,mormo
Prec,0.06869697,mormo
Temp,0.11019144,mormo
lon,0.3544169,mormo
Temp,0.000704079,gryneus
lon,0.015841661,gryneus
Prec,0.016476329,gryneus
elevation,0.01678038,gryneus
lat,0.148053492,gryneus
elevation,0.009873763,irus
lon,0.016619577,irus
Prec,0.017902385,irus
Temp,0.026095347,irus
lat,0.051351014,irus
elevation,0.01548686,niphon
Prec,0.01738172,niphon
lon,0.03827974,niphon
Temp,0.05271648,niphon
lat,0.13957032,niphon
Prec,-0.017078241,tarquinius
elevation,-0.005012561,tarquinius
Temp,0.02825111,tarquinius
lon,0.11939116,tarquinius
lat,0.120187909,tarquinius
lat,0.01161087,lygdamus
elevation,0.01399625,lygdamus
Prec,0.01843551,lygdamus
Temp,0.01891809,lygdamus
lon,0.0593792,lygdamus
lat,0.01251501,piasus
elevation,0.02021714,piasus
Temp,0.03286023,piasus
lon,0.06850808,piasus
Prec,0.11566342,piasus
Temp,0.01047451,edwardsii
lon,0.01058907,edwardsii
elevation,0.01100144,edwardsii
Prec,0.03999167,edwardsii
lat,0.06505141,edwardsii
